Datum,Feiertag_Christi Himmelfahrt,Feiertag_Erster Weihnachtstag,Feiertag_Internationaler Frauentag,Feiertag_Karfreitag,Feiertag_Neujahr,Feiertag_Ostermontag,Feiertag_Pfingstmontag,Feiertag_Tag der Arbeit,Feiertag_Tag der Befreiung,Feiertag_Tag der Deutschen Einheit,Feiertag_Zweiter Weihnachtstag
2019-01-01,0,0,0,0,1,0,0,0,0,0,0
2019-03-08,0,0,1,0,0,0,0,0,0,0,0
2019-04-19,0,0,0,1,0,0,0,0,0,0,0
2019-04-22,0,0,0,0,0,1,0,0,0,0,0
2019-05-01,0,0,0,0,0,0,0,1,0,0,0
2019-05-30,1,0,0,0,0,0,0,0,0,0,0
2019-06-10,0,0,0,0,0,0,1,0,0,0,0
2019-10-03,0,0,0,0,0,0,0,0,0,1,0
2019-12-25,0,1,0,0,0,0,0,0,0,0,0
2019-12-26,0,0,0,0,0,0,0,0,0,0,1
2020-01-01,0,0,0,0,1,0,0,0,0,0,0
2020-03-08,0,0,1,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,1,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,1,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,1,0,0,0
2020-05-08,0,0,0,0,0,0,0,0,1,0,0
2020-05-21,1,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,1,0,0,0,0
2020-10-03,0,0,0,0,0,0,0,0,0,1,0
2020-12-25,0,1,0,0,0,0,0,0,0,0,0
2020-12-26,0,0,0,0,0,0,0,0,0,0,1
2021-01-01,0,0,0,0,1,0,0,0,0,0,0
2021-03-08,0,0,1,0,0,0,0,0,0,0,0
2021-04-02,0,0,0,1,0,0,0,0,0,0,0
2021-04-05,0,0,0,0,0,1,0,0,0,0,0
2021-05-01,0,0,0,0,0,0,0,1,0,0,0
2021-05-13,1,0,0,0,0,0,0,0,0,0,0
2021-05-24,0,0,0,0,0,0,1,0,0,0,0
2021-10-03,0,0,0,0,0,0,0,0,0,1,0
2021-12-25,0,1,0,0,0,0,0,0,0,0,0
2021-12-26,0,0,0,0,0,0,0,0,0,0,1
2022-01-01,0,0,0,0,1,0,0,0,0,0,0
2022-03-08,0,0,1,0,0,0,0,0,0,0,0
2022-04-15,0,0,0,1,0,0,0,0,0,0,0
2022-04-18,0,0,0,0,0,1,0,0,0,0,0
2022-05-01,0,0,0,0,0,0,0,1,0,0,0
2022-05-26,1,0,0,0,0,0,0,0,0,0,0
2022-06-06,0,0,0,0,0,0,1,0,0,0,0
2022-10-03,0,0,0,0,0,0,0,0,0,1,0
2022-12-25,0,1,0,0,0,0,0,0,0,0,0
2022-12-26,0,0,0,0,0,0,0,0,0,0,1
2023-01-01,0,0,0,0,1,0,0,0,0,0,0
2023-03-08,0,0,1,0,0,0,0,0,0,0,0
2023-04-07,0,0,0,1,0,0,0,0,0,0,0
2023-04-10,0,0,0,0,0,1,0,0,0,0,0
2023-05-01,0,0,0,0,0,0,0,1,0,0,0
2023-05-18,1,0,0,0,0,0,0,0,0,0,0
2023-05-29,0,0,0,0,0,0,1,0,0,0,0
2023-10-03,0,0,0,0,0,0,0,0,0,1,0
2023-12-25,0,1,0,0,0,0,0,0,0,0,0
2023-12-26,0,0,0,0,0,0,0,0,0,0,1
